tweetid,userid,date,time,text,latitude,longitude,category,
947424456137428997,864584010072297472,2017-12-31,11:09:27,b'@marktwain2 He-le-maal niets. Niet-en naaimachines: ook niks mis mee. Enzovoorts. Vuurwerk?',52.3535,4.8932,other,
947440051876777984,585890951,2017-12-31,12:11:25,b'Hier in de #Rivierenbuurt is het opvallen rustig vandaag. Prima! https://t.co/zC2DhT4niC',52.345870,4.898865,positive,
947446189951209473,20620142,2017-12-31,12:35:49,b'Even de dieren in Artis een hart onder de riem gestoken. Kunnen ze gebruiken voordat het #vuurwerk begint. https://t.co/k3VlncMxEN',52.366184,4.913461,animals,
947447264045420544,1572434216,2017-12-31,12:40:05,"b""Vraag aan een vriend in Detroit of ze daar vuurwerk hebben. 'They shoot in the air with a gun.' Gezellige bedoening.",52.373431,4.896719,violence,
947450774744944640,104823147,2017-12-31,12:54:02,b'Eens. De mensen zijn nog lang niet gepolariseerd genoeg. Vuurwerk raakt iedereen. https://t.co/hXFfe0wZn3',52.4731,4.8932,other,
947472366615003136,21183126,2017-12-31,14:19:50,b'@oudkatje @koekhuys @Vlooienbaalcom @ingriddebruijn @maydanachar @KittyKunkeler #regendans tegen #Vuurwerk https://t.co/p5casIEVHo',52.3352,4.9585,animals,
947473854045282305,21183126,2017-12-31,14:25:44,b'Stille nacht?? #regendans #vuurwerk https://t.co/OlFZW9TzEY',52.3352,4.9585,general,
947474353901522945,22318523,2017-12-31,14:27:43,b'Ook Amsterdam-Noord is in WOII gebombardeerd. Als je je ogen dichtdoet kun je je met al dat klerevuurwerk dat nu wo https://t.co/PGntbd88Iz',52.4020,4.9625,general,
947477139024211968,2601484872,2017-12-31,14:38:47,b'Oudejaarsnacht 2007-2008 brandde Herengracht 132 #Amsterdam af door vuurwerk. Wees voorzichtig vannacht! https://t.co/03yLa9T4dF',52.375283,4.887937,accident,
947477880602284032,1438050122,2017-12-31,14:41:44,b'Fijne jaarwisseling voorzichtig met vuurwerk!#Baarsjes',52.368530,4.855546,general,
947495116889034752,926195237676027904,2017-12-31,15:50:14,b'Doe ook voorzichtig met vuurwerk',52.3777,4.8972,general,
947503522333020160,303638785,2017-12-31,16:23:38,b'@hubertbonis Helaas kunnen ze in #Amsterdam #Buitenveldert geen klok kijken #vuurwerk #vuurwerkoverlast #wegmetvuurwerk',52.330426,4.857204,general,
947507340013658112,127127678,2017-12-31,16:38:48,b'Amsterdam - New Years 2012 Fireworks https://t.co/0i5KYqt3ju @YouTube',52.393116,4.884466,other,
947507924913610754,121493492,2017-12-31,16:41:07,b'Did any of my aussies record some firework? might need it for a video',52.392120,4.884123,other,
947514364348612608,67007297,2017-12-31,17:06:43,"b""Het tijdsverschil tussen het Westerpark en 5 straten verderop is zo'n 6 uur geloof ik #vuurwerk",52.38787,4.87522,other,
947526724585181184,21183126,2017-12-31,17:55:49,b'@oudkatje @koekhuys @maydanachar @Vlooienbaalcom @ingriddebruijn @KittyKunkeler Het knallen is al begonnen https://t.co/rferb3xHQs',52.3352,4.9585,animals,
947547599258742786,307907628,2017-12-31,19:18:46,b'Holy JESUS they love their fireworks here - fuck its only 8 and its inSANE. Lads I cant deallll',52.383129,4.903204,general,
